display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01768] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01769] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01770] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01771] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01772] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01772] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01773] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01774] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01775] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01775] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01776] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01777] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01778] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01779] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01779] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01780] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01781] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01782] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01783] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01783] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01784] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01787] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01788] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01789] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01790] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01791] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01792] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01792] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01793] Score is : 513
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01794] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01795] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01796] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01796] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01797] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01798] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01799] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01800] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01800] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01801] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01802] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
